"","unit","coicop","geo","time","values"
"1","I05","CP00","DE",2018-03-01,120.2
"2","I05","CP00","FR",2018-03-01,119.38
"3","I05","CP00","PL",2018-03-01,127.2
"4","I05","CP00","DE",2018-02-01,119.7
"5","I05","CP00","FR",2018-02-01,118.03
"6","I05","CP00","PL",2018-02-01,127.3
"7","I05","CP00","DE",2018-01-01,119.2
"8","I05","CP00","FR",2018-01-01,118.03
"9","I05","CP00","PL",2018-01-01,127.7
"10","I05","CP00","DE",2017-12-01,120.3
"11","I05","CP00","FR",2017-12-01,118.15
"12","I05","CP00","PL",2017-12-01,127.5
"13","I05","CP00","DE",2017-11-01,119.4
"14","I05","CP00","FR",2017-11-01,117.73
"15","I05","CP00","PL",2017-11-01,127.3
"16","I05","CP00","DE",2017-10-01,119.1
"17","I05","CP00","FR",2017-10-01,117.61
"18","I05","CP00","PL",2017-10-01,126.8
"19","I05","CP00","DE",2017-09-01,119.2
"20","I05","CP00","FR",2017-09-01,117.48
"21","I05","CP00","PL",2017-09-01,126.3
"22","I05","CP00","DE",2017-08-01,119.1
"23","I05","CP00","FR",2017-08-01,117.66
"24","I05","CP00","PL",2017-08-01,126
"25","I05","CP00","DE",2017-07-01,119
"26","I05","CP00","FR",2017-07-01,117
"27","I05","CP00","PL",2017-07-01,126.2
"28","I05","CP00","DE",2017-06-01,118.5
"29","I05","CP00","FR",2017-06-01,117.48
"30","I05","CP00","PL",2017-06-01,126.5
"31","I05","CP00","DE",2017-05-01,118.2
"32","I05","CP00","FR",2017-05-01,117.49
"33","I05","CP00","PL",2017-05-01,126.6
"34","I05","CP00","DE",2017-04-01,118.4
"35","I05","CP00","FR",2017-04-01,117.47
"36","I05","CP00","PL",2017-04-01,126.7
"37","I05","CP00","DE",2017-03-01,118.5
"38","I05","CP00","FR",2017-03-01,117.35
"39","I05","CP00","PL",2017-03-01,126.4
"40","I05","CP00","DE",2017-02-01,118.3
"41","I05","CP00","FR",2017-02-01,116.5
"42","I05","CP00","PL",2017-02-01,126.4
"43","I05","CP00","DE",2017-01-01,117.5
"44","I05","CP00","FR",2017-01-01,116.31
"45","I05","CP00","PL",2017-01-01,125.7
"46","I05","CP00","DE",2016-12-01,118.4
"47","I05","CP00","FR",2016-12-01,116.69
"48","I05","CP00","PL",2016-12-01,125.4
"49","I05","CP00","DE",2016-11-01,117.3
"50","I05","CP00","FR",2016-11-01,116.28
"51","I05","CP00","PL",2016-11-01,124.8
"52","I05","CP00","DE",2016-10-01,117.3
"53","I05","CP00","FR",2016-10-01,116.28
"54","I05","CP00","PL",2016-10-01,124.7
"55","I05","CP00","DE",2016-09-01,117.1
"56","I05","CP00","FR",2016-09-01,116.23
"57","I05","CP00","PL",2016-09-01,124.2
"58","I05","CP00","DE",2016-08-01,117.1
"59","I05","CP00","FR",2016-08-01,116.51
"60","I05","CP00","PL",2016-08-01,124.2
"61","I05","CP00","DE",2016-07-01,117.1
"62","I05","CP00","FR",2016-07-01,116.1
"63","I05","CP00","PL",2016-07-01,124.5
"64","I05","CP00","DE",2016-06-01,116.7
"65","I05","CP00","FR",2016-06-01,116.58
"66","I05","CP00","PL",2016-06-01,124.9
"67","I05","CP00","DE",2016-05-01,116.6
"68","I05","CP00","FR",2016-05-01,116.41
"69","I05","CP00","PL",2016-05-01,124.7
"70","I05","CP00","DE",2016-04-01,116.1
"71","I05","CP00","FR",2016-04-01,115.86
"72","I05","CP00","PL",2016-04-01,124.5
"73","I05","CP00","DE",2016-03-01,116.8
"74","I05","CP00","FR",2016-03-01,115.75
"75","I05","CP00","PL",2016-03-01,124.1
"76","I05","CP00","DE",2016-02-01,115.7
"77","I05","CP00","FR",2016-02-01,114.86
"78","I05","CP00","PL",2016-02-01,124
"79","I05","CP00","DE",2016-01-01,115.3
"80","I05","CP00","FR",2016-01-01,114.52
"81","I05","CP00","PL",2016-01-01,124
"82","I05","CP00","DE",2015-12-01,116.5
"83","I05","CP00","FR",2015-12-01,115.76
"84","I05","CP00","PL",2015-12-01,124.2
"85","I05","CP00","DE",2015-11-01,116.5
"86","I05","CP00","FR",2015-11-01,115.49
"87","I05","CP00","PL",2015-11-01,124.5
"88","I05","CP00","DE",2015-10-01,116.4
"89","I05","CP00","FR",2015-10-01,115.73
"90","I05","CP00","PL",2015-10-01,124.6
"91","I05","CP00","DE",2015-09-01,116.4
"92","I05","CP00","FR",2015-09-01,115.63
"93","I05","CP00","PL",2015-09-01,124.6
"94","I05","CP00","DE",2015-08-01,116.7
"95","I05","CP00","FR",2015-08-01,116.06
"96","I05","CP00","PL",2015-08-01,124.9
"97","I05","CP00","DE",2015-07-01,116.7
"98","I05","CP00","FR",2015-07-01,115.65
"99","I05","CP00","PL",2015-07-01,125.3
"100","I05","CP00","DE",2015-06-01,116.4
"101","I05","CP00","FR",2015-06-01,116.21
"102","I05","CP00","PL",2015-06-01,125.3
"103","I05","CP00","DE",2015-05-01,116.6
"104","I05","CP00","FR",2015-05-01,116.29
"105","I05","CP00","PL",2015-05-01,125.2
"106","I05","CP00","DE",2015-04-01,116.5
"107","I05","CP00","FR",2015-04-01,116
"108","I05","CP00","PL",2015-04-01,125.1
"109","I05","CP00","DE",2015-03-01,116.6
"110","I05","CP00","FR",2015-03-01,115.85
"111","I05","CP00","PL",2015-03-01,124.6
"112","I05","CP00","DE",2015-02-01,116
"113","I05","CP00","FR",2015-02-01,114.98
"114","I05","CP00","PL",2015-02-01,124.3
"115","I05","CP00","DE",2015-01-01,114.8
"116","I05","CP00","FR",2015-01-01,114.14
"117","I05","CP00","PL",2015-01-01,124.4
"118","I05","CP00","DE",2014-12-01,116.3
"119","I05","CP00","FR",2014-12-01,115.44
"120","I05","CP00","PL",2014-12-01,124.8
"121","I05","CP00","DE",2014-11-01,116.2
"122","I05","CP00","FR",2014-11-01,115.36
"123","I05","CP00","PL",2014-11-01,125.1
"124","I05","CP00","DE",2014-10-01,116.2
"125","I05","CP00","FR",2014-10-01,115.55
"126","I05","CP00","PL",2014-10-01,125.3
"127","I05","CP00","DE",2014-09-01,116.6
"128","I05","CP00","FR",2014-09-01,115.52
"129","I05","CP00","PL",2014-09-01,125.3
"130","I05","CP00","DE",2014-08-01,116.6
"131","I05","CP00","FR",2014-08-01,115.95
"132","I05","CP00","PL",2014-08-01,125.4
"133","I05","CP00","DE",2014-07-01,116.6
"134","I05","CP00","FR",2014-07-01,115.39
"135","I05","CP00","PL",2014-07-01,125.8
"136","I05","CP00","DE",2014-06-01,116.3
"137","I05","CP00","FR",2014-06-01,115.84
"138","I05","CP00","PL",2014-06-01,126
"139","I05","CP00","DE",2014-05-01,115.8
"140","I05","CP00","FR",2014-05-01,115.89
"141","I05","CP00","PL",2014-05-01,126
"142","I05","CP00","DE",2014-04-01,116.1
"143","I05","CP00","FR",2014-04-01,115.86
"144","I05","CP00","PL",2014-04-01,126.2
"145","I05","CP00","DE",2014-03-01,116.4
"146","I05","CP00","FR",2014-03-01,115.89
"147","I05","CP00","PL",2014-03-01,126.1
"148","I05","CP00","DE",2014-02-01,116
"149","I05","CP00","FR",2014-02-01,115.3
"150","I05","CP00","PL",2014-02-01,125.9
"151","I05","CP00","DE",2014-01-01,115.4
"152","I05","CP00","FR",2014-01-01,114.6
"153","I05","CP00","PL",2014-01-01,125.7
"154","I05","CP00","DE",2013-12-01,116.2
"155","I05","CP00","FR",2013-12-01,115.34
"156","I05","CP00","PL",2013-12-01,125.6
"157","I05","CP00","DE",2013-11-01,115.6
"158","I05","CP00","FR",2013-11-01,114.9
"159","I05","CP00","PL",2013-11-01,125.5
"160","I05","CP00","DE",2013-10-01,115.4
